BOARD_DATE,TKT_BEG,STOP_NAME,IN,OUT
20060308,175,"台南  ",16853,16657
20060309,175,"台南  ",17700,17262
20060310,175,"台南  ",28238,25594
20060311,175,"台南  ",22948,22043
20060312,175,"台南  ",25550,28472
20060313,175,"台南  ",18788,19869
20060314,175,"台南  ",16799,16666
20060315,175,"台南  ",16394,16049
20060316,175,"台南  ",17347,17003
20060317,175,"台南  ",27853,25316
20060318,175,"台南  ",21137,19944
20060319,175,"台南  ",24394,27367
20060320,175,"台南  ",18236,19171
20060321,175,"台南  ",16255,16292
20060322,175,"台南  ",16714,16389
20060323,175,"台南  ",16687,16644
20060324,175,"台南  ",26564,24592
20060325,175,"台南  ",21908,20394
20060326,175,"台南  ",23195,25918
20060327,175,"台南  ",17653,18574
20060328,175,"台南  ",16192,16141
20060329,175,"台南  ",16717,16335
20060330,175,"台南  ",17480,16966
20060331,175,"台南  ",31009,27247
20060401,175,"台南  ",24887,21730
20060402,175,"台南  ",25059,23641
20060403,175,"台南  ",20973,20365
20060404,175,"台南  ",23410,22403
20060405,175,"台南  ",25280,27156
20060406,175,"台南  ",19118,21937
20060407,175,"台南  ",24041,25081
20060408,175,"台南  ",21276,22082
20060409,175,"台南  ",25495,27031
20060410,175,"台南  ",17836,18493
20060411,175,"台南  ",16175,16046
20060412,175,"台南  ",16328,16051
20060413,175,"台南  ",16286,15890
20060414,175,"台南  ",24821,23354
20060415,175,"台南  ",19638,18403
20060416,175,"台南  ",21603,23234
20060417,175,"台南  ",17403,18367
20060418,175,"台南  ",16122,16427
20060419,175,"台南  ",16602,16201
20060420,175,"台南  ",17591,17548
20060421,175,"台南  ",27146,25523
20060422,175,"台南  ",22392,23256
20060423,175,"台南  ",29990,29998
20060424,175,"台南  ",18109,18587
20060425,175,"台南  ",16304,16055
20060426,175,"台南  ",16457,16217
20060427,175,"台南  ",17075,16777
20060428,175,"台南  ",26339,24911
20060429,175,"台南  ",21411,20108
20060430,175,"台南  ",24565,26812
20060501,175,"台南  ",20739,21779
20060502,175,"台南  ",16161,15922
20060503,175,"台南  ",15427,15150
20060504,175,"台南  ",16422,15862
20060505,175,"台南  ",25935,24766
20060506,175,"台南  ",20242,19549
20060507,175,"台南  ",23613,25385
20060508,175,"台南  ",18784,19261
20060509,175,"台南  ",16451,16346
20060510,175,"台南  ",16810,16715
20060511,175,"台南  ",18838,17977
20060512,175,"台南  ",34443,29585
20060513,175,"台南  ",25801,22552
20060514,175,"台南  ",28537,33586
20060515,175,"台南  ",21032,22992
20060516,175,"台南  ",16490,16389
20060517,175,"台南  ",15586,15392
20060518,175,"台南  ",13573,13294
20060519,175,"台南  ",24773,24018
20060520,175,"台南  ",21956,21295
20060521,175,"台南  ",25044,26369
20060522,175,"台南  ",17676,18266
20060523,175,"台南  ",16052,15711
20060524,175,"台南  ",16212,16332
20060525,175,"台南  ",17043,16880
20060526,175,"台南  ",28022,26306
20060527,175,"台南  ",21206,19804
20060528,175,"台南  ",23368,25869
20060529,175,"台南  ",17106,17967
20060530,175,"台南  ",20009,18866
20060531,175,"台南  ",22786,22746
20060601,175,"台南  ",17443,18153
20060602,175,"台南  ",24285,22619
20060603,175,"台南  ",18711,17964
20060604,175,"台南  ",22777,24176
20060605,175,"台南  ",17850,18496
20060606,175,"台南  ",16500,16295
20060607,175,"台南  ",16406,16227
20060608,175,"台南  ",16330,16326
20060609,175,"台南  ",22571,21401
20060610,175,"台南  ",16479,14634
20060611,175,"台南  ",20389,21147
20060612,175,"台南  ",17568,19379
20060613,175,"台南  ",16559,16263
20060614,175,"台南  ",16643,16250
20060615,175,"台南  ",16404,16621
20060616,175,"台南  ",23802,22569
20060617,175,"台南  ",20926,20026
20060618,175,"台南  ",22130,23016
20060619,175,"台南  ",17537,17873
20060620,175,"台南  ",16884,16728
20060621,175,"台南  ",17204,16654
20060622,175,"台南  ",17357,17012
20060623,175,"台南  ",23715,22857
20060624,175,"台南  ",20698,19850
20060625,175,"台南  ",21526,22422
20060626,175,"台南  ",18842,18571
20060627,175,"台南  ",17698,17175
20060628,175,"台南  ",17629,17324
20060629,175,"台南  ",18164,18010
20060630,175,"台南  ",23989,23630
20060701,175,"台南  ",19801,18750
20060702,175,"台南  ",20725,21457
20060703,175,"台南  ",20854,21254
